,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,New Norfolk,AU,-42.78,147.06,53.01,75,93,1.01,1603018679
1,Vila Velha,BR,-20.33,-40.29,68.0,94,75,5.82,1603018500
2,Aquiraz,BR,-3.9,-38.39,84.2,58,40,23.04,1603018679
3,Harper,LR,4.38,-7.72,80.2,84,57,8.95,1603018680
4,Marsh Harbour,BS,26.54,-77.06,81.9,78,100,16.62,1603018680
5,Hofn,IS,64.25,-15.21,43.68,70,96,3.24,1603018680
6,Hobart,AU,-42.88,147.33,55.4,58,75,14.99,1603018409
7,Nikolskoye,RU,59.7,30.79,39.2,69,75,8.95,1603018680
8,Arraial do Cabo,BR,-22.97,-42.03,69.8,88,54,5.82,1603018680
9,Pitsunda,GE,43.16,40.34,77.0,50,27,8.95,1603018680
10,Kapaa,US,22.08,-159.32,73.0,78,90,8.16,1603018681
11,Portland,US,45.52,-122.68,55.99,83,99,1.01,1603018013
12,Airai,TL,-8.93,125.41,63.68,96,80,0.69,1603018681
13,Busselton,AU,-33.65,115.33,63.36,76,11,15.14,1603018681
14,Avarua,CK,-21.21,-159.78,71.6,83,96,6.93,1603018681
15,Rikitea,PF,-23.12,-134.97,73.92,81,96,20.27,1603018681
16,Saskylakh,RU,71.92,114.08,15.01,97,89,3.69,1603018681
17,Ushuaia,AR,-54.8,-68.3,41.0,86,40,6.93,1603018648
18,Guerrero Negro,MX,27.98,-114.06,69.06,78,11,7.02,1603018682
19,Bluff,NZ,-46.6,168.33,46.89,73,96,1.45,1603018682
20,Katobu,ID,-4.94,122.53,78.62,71,70,5.1,1603018682
21,Yekaterinogradskaya,RU,43.76,44.23,78.8,27,0,5.84,1603018682
22,Jamestown,US,42.1,-79.24,48.99,49,90,11.41,1603018682
23,Ardakān,IR,32.31,54.02,75.2,5,0,6.93,1603018683
24,Shīeli,KZ,44.17,66.75,72.9,19,0,8.66,1603018683
25,Westport,US,41.14,-73.36,42.8,81,1,6.93,1603018383
26,Zemio,CF,5.03,25.14,79.97,82,58,6.06,1603018683
27,Satu Mare,RO,47.8,22.88,45.0,100,100,9.17,1603018683
28,Moïssala,TD,8.34,17.77,93.78,47,26,2.3,1603018683
29,Mahébourg,MU,-20.41,57.7,80.6,54,20,12.75,1603018684
30,Bengkulu,ID,-3.8,102.27,79.97,76,24,2.15,1603018684
31,Vólakas,GR,41.32,24.0,72.0,43,20,8.05,1603018684
32,Punta Arenas,CL,-53.15,-70.92,39.2,80,99,4.7,1603018684
33,Quirinópolis,BR,-18.45,-50.45,78.48,64,9,8.84,1603018684
34,Saint George,US,37.1,-113.58,57.2,19,1,0.98,1603018674
35,Santa Maria,BR,-29.68,-53.81,66.58,67,80,5.64,1603018684
36,Erzin,TR,36.96,36.2,80.01,75,0,4.0,1603018684
37,Shahe,CN,39.27,113.55,48.96,44,7,0.49,1603018619
38,Tasiilaq,GL,65.61,-37.64,48.2,31,57,13.87,1603018685
39,Qaanaaq,GL,77.48,-69.36,34.86,83,99,8.81,1603018685
40,Nanortalik,GL,60.14,-45.24,39.65,85,100,4.07,1603018685
41,Asău,RO,46.43,26.4,57.0,58,44,5.57,1603018685
42,Bredasdorp,ZA,-34.53,20.04,66.2,59,100,6.93,1603018685
43,Pacifica,US,37.61,-122.49,64.0,72,20,8.05,1603018685
44,North Bend,US,43.41,-124.22,52.0,100,75,4.7,1603018686
45,Pueblo,US,38.25,-104.61,44.6,65,1,8.05,1603018686
46,Cidreira,BR,-30.18,-50.21,67.33,75,87,13.38,1603018691
47,Hay River,CA,60.82,-115.8,26.6,73,75,11.41,1603018691
48,Bontang,ID,0.13,117.5,81.27,80,98,9.37,1603018691
49,Ribeira Grande,PT,38.52,-28.7,60.8,63,20,6.93,1603018691
50,Cape Town,ZA,-33.93,18.42,69.01,49,75,5.82,1603018691
51,Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,1603018692
52,Ilulissat,GL,69.22,-51.1,35.6,93,91,4.7,1603018692
53,Butaritari,KI,3.07,172.79,81.57,77,65,18.79,1603018692
54,Puerto Ayora,EC,-0.74,-90.35,70.0,89,99,5.99,1603018692
55,Hasaki,JP,35.73,140.83,59.0,82,20,6.93,1603018692
56,Atuona,PF,-9.8,-139.03,76.68,80,7,16.06,1603018692
57,Albany,US,42.6,-73.97,35.01,78,20,3.47,1603018692
58,Ranong,TH,9.97,98.63,78.8,100,75,1.12,1603018693
59,Port Elizabeth,ZA,-33.92,25.57,69.8,49,20,24.16,1603018693
60,Kavaratti,IN,10.57,72.64,81.68,75,7,11.05,1603018693
61,Divnomorskoye,RU,44.5,38.14,72.3,71,100,6.17,1603018693
62,Provideniya,RU,64.38,-173.3,35.35,87,98,2.35,1603018693
63,Cockburn Town,TC,21.46,-71.14,81.86,80,60,18.68,1603018693
64,Kavieng,PG,-2.57,150.8,83.07,75,86,12.68,1603018693
65,Hermanus,ZA,-34.42,19.23,66.99,61,97,5.01,1603018694
66,Chui,UY,-33.7,-53.46,63.82,89,42,7.05,1603018694
67,Erbil,IQ,36.19,44.01,89.6,11,0,6.93,1603018480
68,Kununurra,AU,-15.77,128.73,89.6,52,90,12.75,1603018694
69,Wanning,CN,18.8,110.4,78.26,87,100,19.82,1603018694
70,Samarinda,ID,-0.5,117.15,76.57,90,67,3.31,1603018694
71,Guía de Isora,ES,28.21,-16.78,75.0,73,75,10.29,1603018695
72,Tuktoyaktuk,CA,69.45,-133.04,12.81,91,2,6.6,1603018695
73,Rincon,US,32.3,-81.24,57.2,76,1,10.29,1603018695
74,Dikson,RU,73.51,80.55,21.09,92,0,27.67,1603018695
75,Naze,JP,28.37,129.48,75.2,94,75,23.04,1603018695
76,Yellowknife,CA,62.46,-114.35,23.0,92,90,6.93,1603018695
77,Pouembout,NC,-21.13,164.9,68.22,79,24,5.86,1603018695
78,Hilo,US,19.73,-155.09,73.4,83,1,3.36,1603018615
79,Bethel,US,41.37,-73.41,37.99,68,75,2.66,1603018696
80,Grindavik,IS,63.84,-22.43,44.6,87,75,17.22,1603018696
81,Rawson,AR,-43.3,-65.1,60.26,33,0,10.38,1603018696
82,Vaini,TO,-21.2,-175.2,69.8,83,40,10.29,1603018696
83,Southbridge,US,42.08,-72.03,42.8,52,1,3.36,1603018399
84,Noyabrsk,RU,63.2,75.45,27.18,92,100,24.87,1603018696
85,Quatre Cocos,MU,-20.21,57.76,81.0,54,20,12.75,1603018508
86,Mataura,NZ,-46.19,168.86,41.07,90,100,0.85,1603018697
87,Lebu,CL,-37.62,-73.65,48.16,93,14,1.66,1603018697
88,Flinders,AU,-34.58,150.86,61.0,85,100,4.0,1603018697
89,Gorom-Gorom,BF,14.44,-0.24,97.68,27,20,9.01,1603018697
90,Te Anau,NZ,-45.42,167.72,44.83,88,100,1.99,1603018702
91,Jejūri,IN,18.28,74.17,82.49,61,41,3.38,1603018702
92,Port Alfred,ZA,-33.59,26.89,68.81,64,81,20.33,1603018703
93,Don Luan,VN,11.53,106.92,72.3,97,100,6.6,1603018703
94,Sémbé,CG,1.65,14.58,87.22,61,71,2.1,1603018703
95,Dryden,CA,49.78,-92.75,28.4,68,90,8.05,1603018459
96,Ponta do Sol,PT,32.67,-17.1,69.8,88,75,26.4,1603018703
97,Broome,US,42.25,-75.83,39.2,64,1,5.82,1603018703
98,Narsaq,GL,60.92,-46.05,33.8,86,75,3.36,1603018703
99,Mount Isa,AU,-20.73,139.5,93.2,17,33,10.29,1603018703
100,Kumul,CN,42.8,93.45,55.63,31,5,7.74,1603018540
101,Raja,SS,8.46,25.68,88.47,56,82,2.73,1603018704
102,Baykit,RU,61.67,96.37,40.42,88,100,9.22,1603018704
103,Alofi,NU,-19.06,-169.92,78.8,94,84,6.93,1603018704
104,Kholmogory,RU,64.22,41.66,37.4,93,90,6.71,1603018704
105,Saint-Philippe,RE,-21.36,55.77,80.6,65,75,17.22,1603018704
106,Castro,BR,-24.79,-50.01,56.34,87,94,8.21,1603018704
107,Eskil,TR,38.4,33.41,78.6,19,64,4.41,1603018705
108,Simeonovgrad,BG,42.03,25.83,66.0,48,40,4.7,1603018705
109,Torbay,CA,47.67,-52.73,51.01,100,90,11.41,1603018705
110,Lagoa,PT,39.05,-27.98,61.21,64,100,15.52,1603018705
111,Vardø,NO,70.37,31.11,39.67,70,61,8.93,1603018705
112,Sirte,LY,31.21,16.59,74.7,67,100,11.52,1603018507
113,Lagos,NG,6.58,3.75,84.2,79,75,8.05,1603018588
114,Hamilton,US,39.18,-84.53,52.0,61,90,6.93,1603018705
115,Mitchell,US,43.71,-98.03,30.2,58,1,13.87,1603018495
116,Pandan,PH,14.05,124.17,82.08,84,94,12.95,1603018706
117,Bathsheba,BB,13.22,-59.52,77.0,88,20,4.7,1603018706
118,Haines Junction,CA,60.75,-137.51,18.9,80,77,1.19,1603018706
119,Derzhavīnsk,KZ,51.1,66.32,46.49,47,0,5.59,1603018706
120,Bowen,AU,-20.02,148.23,69.8,68,0,10.42,1603018706
121,Lüderitz,NA,-26.65,15.16,74.68,42,8,24.52,1603018706
122,Arona,ES,28.1,-16.68,75.0,73,75,10.29,1603018706
123,Clyde River,CA,70.47,-68.59,28.4,86,1,3.36,1603018706
124,Fortuna,US,40.6,-124.16,48.2,100,1,4.7,1603018682
125,Douentza,ML,15.0,-2.95,100.98,11,5,15.3,1603018449
126,Touros,BR,-5.2,-35.46,77.0,83,40,8.05,1603018707
127,Kaitangata,NZ,-46.28,169.85,48.99,86,99,1.99,1603018707
128,Nuoro,IT,40.32,9.33,71.6,43,40,4.7,1603018707
129,Kalur Kot,PK,32.16,71.26,95.52,10,0,5.53,1603018707
130,Nome,US,64.5,-165.41,35.6,93,90,3.36,1603018707
131,Giugliano in Campania,IT,40.93,14.19,66.99,63,20,3.36,1603018708
132,Greymouth,NZ,-42.47,171.2,52.9,95,100,6.78,1603018708
133,George Town,MY,5.41,100.34,86.0,74,20,4.7,1603018414
134,Katherine,AU,-14.47,132.27,89.6,35,72,1.12,1603018708
135,Teya,RU,60.38,92.63,29.77,93,91,12.33,1603018708
136,Barra Patuca,HN,15.8,-84.28,78.93,85,100,8.12,1603018714
